Position,Title,Title Type,Runtime,Year,Genres,Directors
1,Fantasia,movie,124,1940,"Animation, Family, Fantasy, Music, Musical","Samuel Armstrong, Ben Sharpsteen, Hamilton Luske, Paul Satterfield, James Algar, Jim Handley, Ford Beebe Jr., David Hand, Wilfred Jackson, T. Hee, Norman Ferguson, Bill Roberts"
2,Bambi,movie,69,1942,"Animation, Adventure, Drama, Family","Samuel Armstrong, Paul Satterfield, Graham Heid, James Algar, Clyde Geronimi, David Hand, Arthur Davis, Bill Roberts, Norman Wright"
3,Beauty and the Beast,movie,84,1991,"Animation, Family, Fantasy, Musical, Romance","Kirk Wise, Gary Trousdale"
4,Pinocchio,movie,88,1940,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Ben Sharpsteen, Jack Kinney, Hamilton Luske, Wilfred Jackson, T. Hee, Norman Ferguson, Bill Roberts"
5,The Lion King,movie,88,1994,"Animation, Adventure, Drama, Family, Musical","Rob Minkoff, Roger Allers"
6,Snow White and the Seven Dwarfs,movie,83,1937,"Animation, Adventure, Family, Fantasy, Musical, Romance","William Cottrell, Ben Sharpsteen, Perce Pearce, David Hand, Wilfred Jackson, Larry Morey"
7,Toy Story,movie,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",John Lasseter
8,12 Angry Men,movie,96,1957,"Crime, Drama",Sidney Lumet
9,"20,000 Leagues Under the Sea",movie,127,1954,"Adventure, Drama, Family, Fantasy, Sci-Fi",Richard Fleischer
10,2001: A Space Odyssey,movie,149,1968,"Adventure, Sci-Fi",Stanley Kubrick
11,3:10 to Yuma,movie,92,1957,"Drama, Thriller, Western",Delmer Daves
12,42nd Street,movie,89,1933,"Comedy, Drama, Music, Musical, Romance",Lloyd Bacon
13,The 7th Voyage of Sinbad,movie,88,1958,"Action, Adventure, Family, Fantasy",Nathan Juran
14,Bud Abbott and Lou Costello Meet Frankenstein,movie,83,1948,"Comedy, Family, Fantasy, Horror, Sci-Fi","Charles Barton, Walter Lantz"
15,Adam's Rib,movie,101,1949,"Comedy, Romance",George Cukor
16,The Adventures of Robin Hood,movie,102,1938,"Action, Adventure, Romance","Michael Curtiz, William Keighley"
17,The African Queen,movie,105,1951,"Adventure, Drama, Romance, War",John Huston
18,Airplane!,movie,88,1980,Comedy,"Jim Abrahams, Jerry Zucker, David Zucker"
19,Alien,movie,117,1979,"Horror, Sci-Fi",Ridley Scott
20,All About Eve,movie,138,1950,Drama,Joseph L. Mankiewicz
21,All Quiet on the Western Front,movie,152,1930,"Drama, War",Lewis Milestone
22,All That Heaven Allows,movie,89,1955,"Drama, Music, Romance",Douglas Sirk
23,All That Jazz,movie,123,1979,"Drama, Music, Musical",Bob Fosse
24,All the King's Men,movie,110,1949,"Drama, Film-Noir",Robert Rossen
25,All the President's Men,movie,138,1976,"Drama, History, Thriller",Alan J. Pakula
26,America America,movie,174,1963,"Adventure, Drama",Elia Kazan
27,American Graffiti,movie,110,1973,"Comedy, Drama",George Lucas
28,An American in Paris,movie,114,1951,"Drama, Musical, Romance",Vincente Minnelli
29,Anatomy of a Murder,movie,161,1959,"Drama, Mystery",Otto Preminger
30,Annie Hall,movie,93,1977,"Comedy, Romance",Woody Allen
31,The Apartment,movie,125,1960,"Comedy, Drama, Romance",Billy Wilder
32,Apocalypse Now,movie,147,1979,"Drama, Mystery, War",Francis Ford Coppola
33,Applause,movie,80,1929,"Drama, Musical, Romance",Rouben Mamoulian
34,The Asphalt Jungle,movie,112,1950,"Crime, Drama, Film-Noir, Thriller",John Huston
35,Atlantic City,movie,104,1980,"Crime, Drama, Romance",Louis Malle
36,The Awful Truth,movie,90,1937,"Comedy, Romance",Leo McCarey
37,Baby Face,movie,71,1933,"Drama, Romance",Alfred E. Green
38,Back to the Future,movie,116,1985,"Adventure, Comedy, Sci-Fi",Robert Zemeckis
39,The Bad and the Beautiful,movie,118,1952,"Drama, Romance",Vincente Minnelli
40,Badlands,movie,94,1973,"Action, Crime, Drama",Terrence Malick
41,Ball of Fire,movie,111,1941,"Comedy, Romance",Howard Hawks
42,The Band Wagon,movie,112,1953,"Comedy, Musical, Romance",Vincente Minnelli
43,The Bank Dick,movie,72,1940,Comedy,Edward F. Cline
44,The Bargain,movie,70,1914,Western,Reginald Barker
45,Being There,movie,130,1979,"Comedy, Drama",Hal Ashby
46,Ben-Hur A Tale of the Christ,movie,143,1925,"Adventure, Drama, Romance","Charles Brabin, Christy Cabanne, Rex Ingram, Fred Niblo, J.J. Cohn"
47,Ben-Hur,movie,212,1959,"Adventure, Drama",William Wyler
48,Lime Kiln Club Field Day,movie,65,1913,None,"T. Hayes Hunter, Edwin Middleton"
49,The Best Years of Our Lives,movie,170,1946,"Drama, Romance, War",William Wyler
50,The Big Heat,movie,89,1953,"Crime, Film-Noir, Thriller",Fritz Lang
51,The Big Lebowski,movie,117,1998,"Comedy, Crime","Ethan Coen, Joel Coen"
52,The Big Parade,movie,151,1925,"Drama, Romance, War","King Vidor, George W. Hill"
53,The Big Sleep,movie,114,1946,"Crime, Film-Noir, Mystery, Thriller",Howard Hawks
54,The Big Trail,movie,125,1930,"Adventure, Romance, Western","Raoul Walsh, Louis R. Loeffler"
55,The Birds,movie,119,1963,"Drama, Horror, Mystery, Romance",Alfred Hitchcock
56,The Birth of a Nation,movie,195,1915,"Drama, War",D.W. Griffith
57,The Black Pirate,movie,88,1926,"Adventure, Action",Albert Parker
58,The Black Stallion,movie,118,1979,"Adventure, Family, Sport",Carroll Ballard
59,Blackboard Jungle,movie,101,1955,"Crime, Drama",Richard Brooks
60,Blade Runner,movie,117,1982,"Action, Drama, Sci-Fi, Thriller",Ridley Scott
61,Blazing Saddles,movie,93,1974,"Comedy, Western",Mel Brooks
62,Bless Their Little Hearts,movie,80,1983,Drama,Billy Woodberry
63,The Blood of Jesus,movie,57,1941,"Drama, Fantasy",Spencer Williams
64,The Blue Bird,movie,75,1918,"Family, Fantasy",Maurice Tourneur
65,Bonnie and Clyde,movie,111,1967,"Action, Biography, Crime, Drama",Arthur Penn
66,Born Yesterday,movie,103,1950,"Comedy, Drama, Romance",George Cukor
67,Boyz n the Hood,movie,112,1991,"Crime, Drama",John Singleton
68,Brandy in the Wilderness,movie,87,1969,Drama,Stanton Kaye
69,Breakfast at Tiffany's,movie,115,1961,"Comedy, Drama, Romance",Blake Edwards
70,The Breakfast Club,movie,97,1985,"Comedy, Drama",John Hughes
71,Bride of Frankenstein,movie,75,1935,"Drama, Horror, Sci-Fi",James Whale
72,The Bridge on the River Kwai,movie,161,1957,"Adventure, Drama, War",David Lean
73,Bringing Up Baby,movie,102,1938,Comedy,Howard Hawks
74,Broken Blossoms or The Yellow Man and the Girl,movie,90,1919,"Drama, Romance",D.W. Griffith
75,Bullitt,movie,114,1968,"Action, Crime, Thriller",Peter Yates
76,Butch Cassidy and the Sundance Kid,movie,110,1969,"Biography, Crime, Drama, Western",George Roy Hill
77,Cabaret,movie,124,1972,"Drama, Music, Musical, Romance",Bob Fosse
78,The Cameraman,movie,76,1928,"Comedy, Drama, Family, Romance","Edward Sedgwick, Buster Keaton"
79,Carmen Jones,movie,105,1954,"Drama, Musical, Romance",Otto Preminger
80,Casablanca,movie,102,1942,"Drama, Romance, War",Michael Curtiz
81,Cat People,movie,73,1942,"Fantasy, Horror, Thriller",Jacques Tourneur
82,Chan Is Missing,movie,76,1982,"Drama, Mystery",Wayne Wang
83,The Cheat,movie,59,1915,"Drama, Romance",Cecil B. DeMille
84,The Chechahcos,movie,87,1923,"Adventure, Drama, Western",Lewis H. Moomaw
85,Chinatown,movie,130,1974,"Drama, Mystery, Thriller",Roman Polanski
86,A Christmas Story,movie,93,1983,"Comedy, Family",Bob Clark
87,Citizen Kane,movie,119,1941,"Drama, Mystery",Orson Welles
88,City Lights,movie,87,1931,"Comedy, Drama, Romance",Charles Chaplin
89,Civilization,movie,85,1915,"Drama, War","Thomas H. Ince, Jay Hunt, J. Parker Read Jr., Raymond B. West, Reginald Barker, Walter Edwards, David Hartford"
90,Clash of the Wolves,movie,74,1925,"Adventure, Family, Romance, Western",Noel M. Smith
